Route,Point,Date,Time,Distance
172,3,3/26/2020,7:45,180 - 200
118,9,4/8/2020,6:57,100 - 120
99,11,4/11/2020,7:00,80 - 100
99,12,4/11/2020,6:38,100 - 120
172,3,4/16/2020,8:45,140 - 160
73,8,4/17/2020,7:23,160 - 180
73,10,4/17/2020,6:47,180 - 200
21,4,4/17/2020,8:21,60 - 80
21,8,4/17/2020,7:26,80 - 100
23,8,4/22/2020,7:45,80 - 100
11,3,4/26/2020,6:52,60 - 80
11,5,4/26/2020,7:21,40 - 60
24,5,4/28/2020,7:04,100 - 120
53,6,5/6/2020,7:10,20 - 40
85,11,3/18/2020,,120 - 140
85,11,3/18/2020,,120 - 140
57,10,3/25/2020,9:24,100 - 120
30,5,5/22/2020,6:42,160 - 180
102,10,4/2/2021,7:01,160 - 180
116,10,4/9/2021,7:20,140 - 160
23,8,4/11/2021,8:14,120 - 140
99,2,4/13/2021,9:02,60 - 80
172,8,4/14/2021,7:44,40 - 60
73,9,4/15/2021,6:54,160 - 180
21,7,4/15/2021,7:40,100 - 120
116,10,5/1/2021,8:42,60 - 80
23,8,5/8/2021,7:49,40 - 60
70,8,5/9/2021,7:31,60 - 80
